atomic_number,symbol,element,antimatter_symbol,evidence_status,confidence,deviation_class,reference_id,notes
1,H,Hydrogen,overline(H),neutral anti-atom characterized,1.00,none,IUPACatomicnumber; IUPAC113118; Andresen2010; Andresen2011; ALPHA2017; Ahmadi2017Hyperfine; ALPHA2018; ALPHA2020Fine; Baker2021Cooling; Anderson2023; Akbari2025,"Classical position and symbol follow IUPAC. Antihydrogen is produced, trapped, spectroscopically characterized, laser cooled, and gravitationally tested in the cited ALPHA literature."
2,He,Helium,overline(He),antinucleus observed; neutral anti-atom open,0.65,status,IUPACatomicnumber; IUPAC113118; STAR2011; STAR2024,Classical position and symbol follow IUPAC. Antihelium nuclei are observed in the cited STAR literature; neutral antihelium atoms are not established in the cited literature.
105,Db,Dubnium,overline(Db),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
106,Sg,Seaborgium,overline(Sg),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
107,Bh,Bohrium,overline(Bh),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
108,Hs,Hassium,overline(Hs),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
109,Mt,Meitnerium,overline(Mt),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
110,Ds,Darmstadtium,overline(Ds),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
111,Rg,Roentgenium,overline(Rg),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
112,Cn,Copernicium,overline(Cn),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
113,Nh,Nihonium,overline(Nh),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
114,Fl,Flerovium,overline(Fl),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
115,Mc,Moscovium,overline(Mc),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
116,Lv,Livermorium,overline(Lv),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
117,Ts,Tennessine,overline(Ts),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
118,Og,Oganesson,overline(Og),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
